I will,90
contribute,70
strengths,75
ability,75
conviction,50
judgement,75
confidence,90
confident,90
positive,85
talented,80
talents,85
intention,50
intend,50
contributions,65
forward,40
abilities,75
projects,60
products,70
research,85
researched,85
empathetic,80
empathy,80
friendly,70
traits,65
trust,70
helping,75
opportunity,75
technical,75
skills,50
goals,60
enthusiastic,80
curious,75
time-management,80
challenge,85
flexible,80
reliable,75
creative,85
leadership,85
leader,85
progress,65
accomplishments,80
collaborating,80
results,82
committed,75
trustworthy,72
honest,80
focused,82
methodical,90
proactive,90
supervision,80
multitasking,78
communicate,75
enthusiasm,85
deadline,65
pressure,77
career,70
education,65
graduated,65
adminstration,68
skillset,75
team,65
energized,78
interested,45
love,50
motivated,70
priority,55
win,60
responsibility,75
effective,78
accomplish,80
coordinate,78
efficient,75
on time,80
organize,82
organizational,82
practical,80
prepare,72
provide,25
responsible,80
support,78
deliver,85
develop,78
initiative ,85
innovative,82
plan,68
resolve,72
assisted,70
impression,55
adaptive,85
adapted,85
advised,68
analytical,88
verbal,80
communication,75
professional,88
applied,85
blend,88
built,65
cooperate,68
created,65
developed,78
experience,85
experienced,85
guided,80
handled,75
headed,75
implemented,70
improved,78
led,75
managed,75
performed,55
attended,65
organized,85
presented,85
tested,60
transformed,70
